FOR_Divisions_Key,FOR_Division,FOR_Group,FOR_Divisions_Time
34173cb38f07f89ddbebc2ac9128303f,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",2024-07-10
c16a5320fa475530d9583c34fd356ef5,31,BIOLOGICAL SCIENCES,2024-07-10
6364d3f0f495b6ab9dcf8d3b5c6e0b01,32,BIOMEDICAL AND CLINICAL SCIENCES,2024-07-10
182be0c5cdcd5072bb1864cdee4d3d6e,33,BUILT ENVIRONMENT AND DESIGN,2024-07-10
e369853df766fa44e1ed0ff613f563bd,34,CHEMICAL SCIENCES,2024-07-10
1c383cd30b7c298ab50293adfecb7b18,35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",2024-07-10
19ca14e7ea6328a42e0eb13d585e4c22,36,CREATIVE ARTS AND WRITING,2024-07-10
a5bfc9e07964f8dddeb95fc584cd965d,37,EARTH SCIENCES,2024-07-10
a5771bce93e200c36f7cd9dfd0e5deaa,38,ECONOMICS,2024-07-10
d67d8ab4f4c10bf22aa353e27879133c,39,EDUCATION,2024-07-10
d645920e395fedad7bbbed0eca3fe2e0,40,ENGINEERING,2024-07-10
3416a75f4cea9109507cacd8e2f2aefc,41,ENVIRONMENTAL SCIENCES,2024-07-10
a1d0c6e83f027327d8461063f4ac58a6,42,HEALTH SCIENCES,2024-07-10
17e62166fc8586dfa4d1bc0e1742c08b,43,"HISTORY, HERITAGE AND ARCHAEOLOGY",2024-07-10
f7177163c833dff4b38fc8d2872f1ec6,44,HUMAN SOCIETY,2024-07-10
6c8349cc7260ae62e3b1396831a8398f,45,INDIGENOUS STUDIES,2024-07-10
d9d4f495e875a2e075a1a4a6e1b9770f,46,INFORMATION AND COMPUTING SCIENCES,2024-07-10
67c6a1e7ce56d3d6fa748ab6d9af3fd7,47,"LANGUAGE, COMMUNICATION AND CULTURE",2024-07-10
642e92efb79421734881b53e1e1b18b6,48,LAW AND LEGAL STUDIES,2024-07-10
f457c545a9ded88f18ecee47145a72c0,49,MATHEMATICAL SCIENCES,2024-07-10
c0c7c76d30bd3dcaefc96f40275bdc0a,50,PHILOSOPHY AND RELIGIOUS STUDIES,2024-07-10
2838023a778dfaecdc212708f721b788,51,PHYSICAL SCIENCES,2024-07-10
9a1158154dfa42caddbd0694a4e9bdc8,52,PSYCHOLOGY,2024-07-10
